time,base_x,base_y,base_z,base_qx,base_qy,base_qz,base_qw,base_vx,base_vy,base_vz,base_wx,base_wy,base_wz,base_ax,base_ay,base_az,base_alphax,base_alphay,base_alphaz,q_fl_hip_abduction,dq_fl_hip_abduction,ddq_fl_hip_abduction,tau_fl_hip_abduction,q_fl_hip_pitch,dq_fl_hip_pitch,ddq_fl_hip_pitch,tau_fl_hip_pitch,q_fl_knee,dq_fl_knee,ddq_fl_knee,tau_fl_knee,q_fr_hip_abduction,dq_fr_hip_abduction,ddq_fr_hip_abduction,tau_fr_hip_abduction,q_fr_hip_pitch,dq_fr_hip_pitch,ddq_fr_hip_pitch,tau_fr_hip_pitch,q_fr_knee,dq_fr_knee,ddq_fr_knee,tau_fr_knee,q_rl_hip_abduction,dq_rl_hip_abduction,ddq_rl_hip_abduction,tau_rl_hip_abduction,q_rl_hip_pitch,dq_rl_hip_pitch,ddq_rl_hip_pitch,tau_rl_hip_pitch,q_rl_knee,dq_rl_knee,ddq_rl_knee,tau_rl_knee,q_rr_hip_abduction,dq_rr_hip_abduction,ddq_rr_hip_abduction,tau_rr_hip_abduction,q_rr_hip_pitch,dq_rr_hip_pitch,ddq_rr_hip_pitch,tau_rr_hip_pitch,q_rr_knee,dq_rr_knee,ddq_rr_knee,tau_rr_knee,contact_fl_foot_fx,contact_fl_foot_fy,contact_fl_foot_fz,contact_fl_foot_active,contact_fr_foot_fx,contact_fr_foot_fy,contact_fr_foot_fz,contact_fr_foot_active,contact_rl_foot_fx,contact_rl_foot_fy,contact_rl_foot_fz,contact_rl_foot_active,contact_rr_foot_fx,contact_rr_foot_fy,contact_rr_foot_fz,contact_rr_foot_active
0,0,0.012,0.43,0,0.022498101610554,0,0.99974688567853,0.08,-0,0.045,0.2,-0,0.16,0.38883849154827,0.17016240625238,0.2331019732581,-0.36102297241069,2.3629624638332,3.2422539636403,0,0.86393797973719,-0,-0.78332746376475,0.70506124072876,1.2528945533271,-2.6400626188079,-3.0403653715322,-0.86201982609979,1.3046294397738,-7.974288755359,0.80066942978061,0.21138371412534,0.36151702589844,-7.4326758058337,-2.310621931999,0.87666692980141,-0.2942099671918,-12.912414890873,-5.7901113222857,-0.83197845949657,-1.5110763737419,-16.784938919695,-0.74623221253852,0.11715767966224,-1.4771129873858,-7.3721348739202,-0.84111107194196,0.61936395764506,-2.5577264505237,-2.9114327094946,-0.25636355447569,-1.2617193587179,-3.366086017736,9.5956016727425,2.5888941145902,-0.14645003671015,-1.6310941187899,14.456071867814,1.286533646097,0.30515021897516,-1.2748870812535,30.898876961775,6.7669068770747,-1.5299410734008,0.075420156692448,48.261388237644,8.0162741978858,0,2.5,35.16584604219,1,2.4270509831248,-0.39108616260058,36.981808041148,1,-2.8531695488855,-2.3776412907379,31.92977806469,1,0.92705098312484,1.1349762493489,39.11659940457,1
0.005,0.00020616052677095,0.011998126366049,0.43020418134847,0.00042389245723657,0.022493004214952,0.0003436157281627,0.99974685146031,0.079992443703087,-0.0010602323369372,0.04498534096363,0.19997532649633,-0.0038874186500893,0.15998889682347,0.401824358221,0.16298453481979,0.25907539750012,-0.44085482031357,2.0302630414081,3.2672745845569,0.0043194123413382,0.86377144746869,-0.066610767272174,-0.84959611443196,0.71129216316181,1.2393648057954,-2.7715983792108,-3.1643603947223,-0.85559710435338,1.2643110505911,-8.1521365464331,0.72196119382449,0.21309813279828,0.32420020720926,-7.4929582085922,-2.3171921627816,0.87503475618075,-0.35860027976167,-12.841374606815,-5.703205546519,-0.83974196861135,-1.593985804491,-16.375186718357,-0.69323100226339,0.10968191136656,-1.5128023106508,-6.9017229272105,-0.76629409288883,0.60654287885744,-2.5699148141499,-1.9631614891605,-0.023394918514216,-1.278423842687,-3.314511900452,11.030353681311,2.7786872008938,-0.15442148970242,-1.5568313332216,15.242933380012,1.3487157649874,0.29916491457672,-1.1186739237889,31.571750643889,6.8484669724816,-1.5289610644454,0.31647968326399,48.136904216356,8.0560059850657,0.08245642165762,2.4994169063923,35.29933893743,1,2.377667381931,-0.4443221421599,36.861853434939,1,-2.8775720655694,-2.3604023131637,32.010045842926,1,1.00512146317,1.1828186884389,39.093515782597,1
0.01,0.0004122821082881,0.011992506049278,0.43040822967019,0.00084769065897622,0.0224777143669,0.00068719842220615,0.99974674869975,0.079969776239788,-0.0021201335926573,0.044941373405068,0.19990131207315,-0.0077730239170063,0.15995558883488,0.41506497587257,0.15453861944407,0.28349274164847,-0.50213819488784,1.7033296377096,3.2957555466728,0.0086371594669951,0.86327191486455,-0.13319585482557,-0.91447855706827,0.71745379868267,1.2251810073408,-2.9016714819126,-3.2860757095387,-0.84937817426381,1.2231174796503,-8.3243412632092,0.64478535213881,0.21462524123788,0.28659842114065,-7.5466544074637,-2.3212448211224,0.8730815773043,-0.4226004261829,-12.756362583311,-5.6094986147692,-0.84791481238199,-1.674792232047,-15.943830140204,-0.63528058807593,0.1020336226158,-1.5461121226561,-6.4204551487101,-0.68966688362965,0.59367272859459,-2.5773520160107,-1.0112608497673,0.20662160324529,-1.2948526171543,-3.25582195167,12.441424936719,2.9669695958297,-0.16201194771983,-1.4787274701207,15.992186907523,1.4097029512612,0.29396871910093,-0.95931744264205,32.155911941297,6.9194295454276,-1.5267779513151,0.55653446801911,47.859597871435,8.0866709789276,0.16485053973734,2.4976678975677,35.432683110589,1,2.3264872295167,-0.49735085659853,36.740009336808,1,-2.8998003060507,-2.3420622671892,32.093829442504,1,1.0824324794629,1.2301093723158,39.066056413041,1
0.015,0.0006183258066547,0.011983140804758,0.43061201202509,0.0012713003613222,0.022452239081589,0.0010307150320426,0.99974657707948,0.079932001892155,-0.0031793727893305,0.044868125969738,0.19977797499239,-0.011655003263476,0.15990008065704,0.42852419907701,0.14476816160744,0.30622323088354,-0.54475271291206,1.3824451982307,3.3278369549791,0.012951576803262,0.8624395745041,-0.19972959284143,-0.97795553875937,0.72354289560677,1.2103506431899,-3.0302132833368,-3.4053794998923,-0.84336734070066,1.1810772419771,-8.4907837020889,0.56923121648009,0.21596369713748,0.24874471912873,-7.5937172042516,-2.3227435837063,0.87080951827992,-0.48614077268203,-12.657471315589,-5.5092484860375,-0.85648620807977,-1.7533890455636,-15.491438289589,-0.57253390360332,0.09422484352722,-1.5769900298587,-5.9290885323038,-0.61165686126132,0.58077730070582,-2.5800243064872,-0.057490629383315,0.43321025709032,-1.3109704116503,-3.1901421711747,13.825786050151,3.1532854699012,-0.16920268327589,-1.396975230512,16.701983861597,1.4697645787449,0.28957623316013,-0.79726540815116,32.649719439105,6.9797855816491,-1.523398664834,0.79482239859097,47.430349579398,8.1084055239146,0.24712009773746,2.494753789395,35.565730005278,1,2.2735491972984,-0.55014756935296,36.616411491115,1,-2.9198374748042,-2.3226297079852,32.181035521592,1,1.1589256162632,1.2768262410634,39.034251887902,1
0.02,0.00082425269868669,0.011970033556995,0.43081539564636,0.0016946273435905,0.022416590047439,0.0013741324756793,0.99974633607168,0.079879127796043,-0.00423761915587,0.044765646379278,0.19960534568565,-0.015531545843626,0.15982237999392,0.44214685712688,0.13362540529921,0.32713125883742,-0.56862558339042,1.067932297463,3.3635195742955,0.017261001060126,0.86127474727039,-0.26618633129723,-1.040014825267,0.72955624053041,1.1948815397822,-3.1571559480217,-3.5221417071932,-0.83756876448486,1.1382194386767,-8.6513486482395,0.49538795972093,0.21711232401336,0.21067237404014,-7.6341052314258,-2.3216491671592,0.86822105116515,-0.54915218575953,-12.544808399842,-5.4027141556013,-0.86544484715194,-1.8296725494187,-15.018608023463,-0.50514610674169,0.086267856655945,-1.6053874638984,-5.4283959565019,-0.53267324480939,0.56788043577276,-2.5779267451494,0.89638587751203,0.65594055610873,-1.3267426233396,-3.1176135650222,15.180464976034,3.3371998799843,-0.17597595509561,-1.3117763168435,17.370573002342,1.5291264024975,0.28599979905068,-0.63297316479767,33.051785604477,7.0294234424025,-1.5188339333698,1.0305869719215,46.850522093467,8.1212878707866,0.32920293327314,2.4906759412324,35.698331396296,1,2.2188932849358,-0.6026876520826,36.49119759604,1,-2.9376684318653,-2.3021137003526,32.271566925436,1,1.2345430758153,1.3229475024355,38.998137640039,1
0.025,0.0010300238832656,0.01195318839902,0.43101824802699,0.0021175774199479,0.022370783620747,0.0017174176233467,0.99974602493972,0.079811163939761,-0.0052945422312222,0.044634001400443,0.19938346674663,-0.019400843347697,0.15972249762955,0.45585928263806,0.12107187239388,0.34607725427052,-0.57372097898069,0.76015896750838,3.4026587616392,0.021563770872503,0.85977788222649,-0.33254044985522,-1.1006502435936,0.73549066002654,1.1787818606391,-3.2824324844191,-3.6362342685922,-0.8319864595085,1.0945737367901,-8.805924955348,0.42334438094716,0.2180701122388,0.17241485092571,-7.6677829884837,-2.3179201080292,0.86531899227749,-0.61156610740876,-12.418496416163,-5.2901551704709,-0.87477891014158,-1.9035421000233,-14.525963163918,-0.43327425058047,0.078175177675514,-1.6312597579909,-4.9191649687675,-0.45310035245073,0.55500597703381,-2.5710632098898,1.848605179941,0.87442923552399,-1.3421353913086,-3.0383918428179,16.502553392642,3.5183013171721,-0.18231505188751,-1.2233409353374,17.996304759461,1.5879639479203,0.28324946607271,-0.46690235174948,33.360980685416,7.0681280437537,-1.5130982487742,1.2630796959648,46.121956217183,8.1253362172705,0.4110370250459,2.4854362552936,35.830339554773,1,2.1625607901088,-0.65494659615834,36.364507150175,1,-2.9532797042697,-2.2805238144937,32.365322794596,1,1.30922772202,1.368451642022,38.9577539037,1
0.03,0.0012356004886873,0.01193261059111,0.43122043700607,0.0025400564510864,0.022314840818204,0.0020605372817222,0.99974564274049,0.079728123162187,-0.0063498119675607,0.044473276801614,0.19911239292062,-0.023261090845575,0.1596004474266,0.46957010019217,0.10707907434472,0.36291929098658,-0.56003042473595,0.45954533206908,3.444959858863,0.025858227440724,0.85794955644237,-0.3987663677396,-1.1598607012311,0.7413430223195,1.1620601020564,-3.4059767802482,-3.7475312365801,-0.82662428995634,1.0501703487575,-8.9544056225586,0.35318869392795,0.21883621993154,0.13400577760511,-7.6947208731551,-2.3115136406711,0.86210649913021,-0.67331462970882,-12.278672795176,-5.171831013027,-0.88447608228136,-1.9749002386043,-14.014153675157,-0.35707694735348,0.069959535691787,-1.654566217186,-4.40219654677,-0.37329167782601,0.54217772630363,-2.5594463897539,2.7974068507029,1.0883416022941,-1.3571156692609,-2.9526470834281,17.78921294589,3.6962039018343,-0.18820433357437,-1.1318872773608,18.577635302133,1.6463961448692,0.28133296229302,-0.29951960571678,33.576435885215,7.0955824934896,-1.5062098203744,1.4915624659569,45.246964960324,8.1205084514707,0.49256053970659,2.4790371757605,35.961607412747,1,2.1045942773126,-0.70690002409521,36.236481297111,1,-2.9666594962335,-2.257870121548,32.462198677311,1,1.3829231236064,1.4133174332846,38.913145669692,1
0.035,0.001440943680005,0.011908306559144,0.43142183085491,0.0029619703559491,0.022248787307277,0.0024034581782823,0.99974518832738,0.079630021150338,-0.0074030988333512,0.044283577296912,0.19879219109104,-0.02711048762875,0.15945624632437,0.4831712780547,0.091629419686577,0.37751541217699,-0.52756423502153,0.16657073027306,3.4899751886499,0.030142715170033,0.85579047477243,-0.46483855359834,-1.2176491827841,0.74711023893771,1.1447250886204,-3.5277236373845,-3.8559087863675,-0.82148596763092,1.0050400115049,-9.0966878685413,0.28500833704128,0.2194099736938,0.095478915108482,-7.7148952074216,-2.3023866528884,0.85858706699686,-0.73433056871009,-12.125489668508,-5.0480003691338,-0.89452356974094,-2.0436528197854,-13.483854805972,-0.27671403251035,0.061633853221121,-1.6752701823764,-3.8783038385145,-0.29356485322825,0.52941939996927,-2.5430977614815,3.741036780986,1.2973922360363,-1.371651296463,-2.8605633698423,19.037681342911,3.8705491858126,-0.19362926988107,-1.0376409810952,19.113130348018,1.7044792107619,0.28025567283017,-0.13129524976549,33.697545803662,7.111372223196,-1.4981905171638,1.7153099077097,44.228326195693,8.1067036715937,0.57371187857622,2.4714816876432,36.091988727014,1,2.0450375456968,-0.75852370092381,36.107262668192,1,-2.9777976980662,-2.2341631888945,32.562086645869,1,1.4555735967707,1.4575239474584,38.864362635263,1
0.04,0.0016460146663657,0.011880283892599,0.43162229836285,0.003383225123516,0.022172653394462,0.0027461469458145,0.99974466035391,0.079516876436414,-0.008454073916255,0.044065026477979,0.1984229402629,-0.030947238050294,0.15928991433649,0.49653945659488,0.074717315752346,0.38972661511642,-0.47634407733807,-0.11821907113369,3.5371028500272,0.034415582308851,0.85330146958374,-0.53073153534607,-1.2740217301609,0.7527892663436,1.1267859685509,-3.6476088062675,-3.9612451257801,-0.81657504938319,0.95921396516739,-9.2326732026391,0.21888980048162,0.21979086920417,0.056868128001002,-7.7282882583301,-2.2904989245835,0.85476452510837,-0.79454753753205,-11.959113703263,-4.918920307061,-0.90490811650628,-2.1097091357967,-12.935766198864,-0.19234623982328,0.05321122586434,-1.6933390879598,-3.3483108833282,-0.21419758282322,0.51675458514417,-2.5220475498012,4.6777504232977,1.5013450082434,-1.3857110667895,-2.7623383939709,20.245278282348,4.0410075319869,-0.19857647618431,-0.94083457483279,19.601468701979,1.7622008306308,0.28002062472304,0.037298028227493,33.723970138129,7.3648477392109,-1.4890657983731,1.9336116804875,43.069273840084,8.0837654575206,0.65442972418963,2.4627733153869,36.221338242051,1,1.983935595971,-0.80979354549537,35.976995223616,1,-2.9866858938092,-2.2094140752217,32.664875416847,1,1.5271242472511,1.5010505633147,38.811459148731,1
0.045,0.0018507747083378,0.011848551342178,0.43182170892276,0.0038037268246659,0.022086474011415,0.0030885701071198,0.999744057278,0.079388710394291,-0.0095024090258391,0.043817766733456,0.19800473154331,-0.034769552362491,0.15910147454813,0.50953757514526,0.056350440423485,0.39942041862311,-0.40639679925537,-0.39420504673112,3.585587551635,0.038675181585558,0.8504835004352,-0.59641990998399,-1.3289864192019,0.75837710753977,1.1082522088731,-3.7655690198067,-4.0634203298557,-0.81189493465039,0.91272393146382,-9.3622674930449,0.15491846467315,0.21997857166091,0.018207354616371,-7.7348882535787,-2.2807586115011,0.85064303248673,-0.85390001859389,-11.779725920689,-4.7848454019619,-0.91561602186876,-2.1729820361483,-12.370610966981,-0.10413490161931,0.044704901708448,-1.708744513062,-2.8130513157155,-0.13542460331957,0.50420669606121,-2.4963346715518,5.6058160167179,1.7000123986706,-1.3992647957188,-2.6581830322261,21.409411208616,4.2072790527988,-0.20303374653564,-0.84170690327316,20.041445515782,1.8194747312507,0.28062847842531,0.2057865037638,33.655634639781,7.3558531883566,-1.4788646326439,2.1457747321566,41.773487587425,8.0514868442607,0.73465308662654,2.4529161212288,36.349511851844,1,1.9213345964018,-0.86068564171499,35.845824092043,1,-2.9933173675952,-2.1836343253698,32.770450475087,1,1.5975210118049,1.5438769767804,38.754494148937,1
